Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Fido2.csproj,,,Microsoft.Extensions.Http 9.0.0,,,,,"Microsoft.Extensions.Http, 9.0.0  Recommendation:  Remove Microsoft.Extensions.Http, and replace with new package Microsoft.Extensions.Http 10.0.7"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Fido2.csproj,,,System.Formats.Cbor 9.0.0,,,,,"System.Formats.Cbor, 9.0.0  Recommendation:  Remove System.Formats.Cbor, and replace with new package System.Formats.Cbor 10.0.7"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Fido2.csproj,,,,,,,,Current target framework: net8.0 Recommended target framework: net10.0
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,55,4,T:System.Formats.Cbor.CborWriter,,,,,"public static void WriteMap(this CborWriter writer, CborMap map)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,65,8,M:System.Formats.Cbor.CborWriter.WriteEndMap,,,,,writer.WriteEndMap();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,57,8,M:System.Formats.Cbor.CborWriter.WriteStartMap(System.Nullable{System.Int32}),,,,,writer.WriteStartMap(map.Count);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,43,4,T:System.Formats.Cbor.CborWriter,,,,,"public static void WriteArray(this CborWriter writer, CborArray array)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,52,8,M:System.Formats.Cbor.CborWriter.WriteEndArray,,,,,writer.WriteEndArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,45,8,M:System.Formats.Cbor.CborWriter.WriteStartArray(System.Nullable{System.Int32}),,,,,writer.WriteStartArray(array.Length);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,7,4,T:System.Formats.Cbor.CborWriter,,,,,"public static void WriteObject(this CborWriter writer, CborObject @object)"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,35,12,M:System.Formats.Cbor.CborWriter.WriteNull,,,,,writer.WriteNull();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,23,12,M:System.Formats.Cbor.CborWriter.WriteInt64(System.Int64),,,,,writer.WriteInt64(number.Value);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,19,12,M:System.Formats.Cbor.CborWriter.WriteBoolean(System.Boolean),,,,,writer.WriteBoolean(boolean.Value);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,15,12,M:System.Formats.Cbor.CborWriter.WriteByteString(System.Byte[]),,,,,writer.WriteByteString(data.Value);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborWriterExtensions.cs,11,12,M:System.Formats.Cbor.CborWriter.WriteTextString(System.String),,,,,writer.WriteTextString(text.Value);
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,125,8,M:System.Formats.Cbor.CborWriter.Encode,,,,,return writer.Encode();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,121,8,T:System.Formats.Cbor.CborWriter,,,,,var writer = new CborWriter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,121,8,"M:System.Formats.Cbor.CborWriter.#ctor(System.Formats.Cbor.CborConformanceMode,System.Boolean,System.Boolean,System.Int32)",,,,,var writer = new CborWriter();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,100,4,T:System.Formats.Cbor.CborReader,,,,,private static CborMap ReadMap(CborReader reader)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,114,8,M:System.Formats.Cbor.CborReader.ReadEndMap,,,,,reader.ReadEndMap();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,T:System.Formats.Cbor.CborReaderState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,T:System.Formats.Cbor.CborReaderState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,F:System.Formats.Cbor.CborReaderState.Finished,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,T:System.Formats.Cbor.CborReaderState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,T:System.Formats.Cbor.CborReaderState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,F:System.Formats.Cbor.CborReaderState.EndMap,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,T:System.Formats.Cbor.CborReaderState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,106,8,M:System.Formats.Cbor.CborReader.PeekState,,,,,"while (!(reader.PeekState() is CborReaderState.EndMap or CborReaderState.Finished))          {              CborObject k = Read(reader);              CborObject v = Read(reader);                map.Add(k, v);          }"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,102,8,M:System.Formats.Cbor.CborReader.ReadStartMap,,,,,int? count = reader.ReadStartMap();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,82,4,T:System.Formats.Cbor.CborReader,,,,,private static CborArray ReadArray(CborReader reader)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,95,8,M:System.Formats.Cbor.CborReader.ReadEndArray,,,,,reader.ReadEndArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,T:System.Formats.Cbor.CborReaderState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,T:System.Formats.Cbor.CborReaderState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,F:System.Formats.Cbor.CborReaderState.Finished,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,T:System.Formats.Cbor.CborReaderState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,T:System.Formats.Cbor.CborReaderState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,F:System.Formats.Cbor.CborReaderState.EndArray,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,T:System.Formats.Cbor.CborReaderState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,90,8,M:System.Formats.Cbor.CborReader.PeekState,,,,,while (!(reader.PeekState() is CborReaderState.EndArray or CborReaderState.Finished))          {              items.Add(Read(reader));          }
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,84,8,M:System.Formats.Cbor.CborReader.ReadStartArray,,,,,int? count = reader.ReadStartArray();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,75,4,T:System.Formats.Cbor.CborReader,,,,,private static CborNull ReadNull(CborReader reader)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,77,8,M:System.Formats.Cbor.CborReader.ReadNull,,,,,reader.ReadNull();
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,57,4,T:System.Formats.Cbor.CborReader,,,,,private static CborObject Read(CborReader reader)
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,61,8,T:System.Formats.Cbor.CborReaderState,,,,,"return s switch          {              CborReaderState.StartMap => ReadMap(reader),              CborReaderState.StartArray => ReadArray(reader),              CborReaderState.TextString => new CborTextString(reader.ReadTextString()),              CborReaderState.Boolean => (CborBoolean)reader.ReadBoolean(),              CborReaderState.ByteString => new CborByteString(reader.ReadByteString()),              CborReaderState.UnsignedInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.NegativeInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.Null => ReadNull(reader),              _ => throw new Exception($""Unhandled state. Was {s}"")          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,61,8,T:System.Formats.Cbor.CborReaderState,,,,,"return s switch          {              CborReaderState.StartMap => ReadMap(reader),              CborReaderState.StartArray => ReadArray(reader),              CborReaderState.TextString => new CborTextString(reader.ReadTextString()),              CborReaderState.Boolean => (CborBoolean)reader.ReadBoolean(),              CborReaderState.ByteString => new CborByteString(reader.ReadByteString()),              CborReaderState.UnsignedInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.NegativeInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.Null => ReadNull(reader),              _ => throw new Exception($""Unhandled state. Was {s}"")          };"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,Src\Fido2\Fido2.csproj,File,Src\Fido2\Cbor\CborObject.cs,61,8,F:System.Formats.Cbor.CborReaderState.Null,,,,,"return s switch          {              CborReaderState.StartMap => ReadMap(reader),              CborReaderState.StartArray => ReadArray(reader),              CborReaderState.TextString => new CborTextString(reader.ReadTextString()),              CborReaderState.Boolean => (CborBoolean)reader.ReadBoolean(),              CborReaderState.ByteString => new CborByteString(reader.ReadByteString()),              CborReaderState.UnsignedInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.NegativeInteger => new CborInteger(reader.ReadInt64()),              CborReaderState.Null => ReadNull(reader),              _ => throw new Exception($""Unhandled state. Was {s}"")          };"
